ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
504092723,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,15,0.0,32995,48126921154911,65,29.239904403686523,677.3996616120307,0.16117342398087475,1,15477.298400192007,0.002907556015998125,,,,,0,,3,,
504092723,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,1,0.0,32995,48126932994160,33,35.72803497314453,-0.9752548485946821,0.07860264039299475,1,-104.03766882495285,0.0014606472104787827,,,,,0,,3,,
504092723,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,24,0.0,32995,48126931918015,33,35.9607048034668,358.22311396369423,0.07639326345491049,1,8508.702251449116,0.0014215412084013224,,,,,0,,3,,
504092724,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,23,0.0,32995,48126919344951,88,26.562870025634766,624.1621147093574,0.22255076921286931,1,13643.128645304647,0.003952961415052414,,,,,0,,3,,
504092724,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,17,0.0,32995,48126935508315,33,37.312522888183594,-306.8217594061873,0.06633769064384587,1,-7709.565683147833,0.0012158050667494535,,,,,0,,3,,
504092724,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,8,0.0,17,563005,166,18.84389305114746,573.5553244607668,4.200820930336182,4,5734.2851010008735,3.4028234663852886E38,,,,,1,,3,,
504093679,29016000000,,,-1222338116983980994,0.0,10.129352842419967,,,0,1,0.0,16431,37345928280941,7,41.873130798339844,-582.6035350184425,0.039079484676258575,1,-15153.71391273133,7.719476707279682E-4,,,,,0,,1,,
504093679,29016000000,,,-1222338116983980994,0.0,10.129352842419967,,,0,3,0.0,16431,37345915619366,44,26.49921989440918,-855.2927026082743,0.22349179781957773,4,-22167.397145914354,3.4028234663852886E38,,,,,0,,1,,
504093680,29016000000,,,-1222338116983980994,0.0,10.129352842419967,,,0,8,0.0,16431,37345930686024,7,41.75970458984375,200.04823961152692,0.04000620963483156,4,5089.321567518441,3.4028234663852886E38,,,,,0,,1,,
504093680,29016000000,,,-1222338116983980994,0.0,10.129352842419967,,,0,10,0.0,16431,37345925898242,66,23.033390045166016,356.225064032501,0.3299571210100738,4,8461.21339077001,3.4028234663852886E38,,,,,0,,1,,
504093680,29016000000,,,-1222338116983980994,0.0,10.129352842419967,,,0,11,0.0,16431,37345930950157,9,40.25710678100586,-475.58956349301366,0.04724617712587201,4,-12405.962939123694,3.4028234663852886E38,,,,,0,,1,,
504093681,29016000000,,,-1222338116983980994,0.0,10.129352842419967,,,0,14,0.0,16431,37345918237295,30,29.826929092407227,-673.3357376611639,0.15372688984355043,4,-17487.356382083322,3.4028234663852886E38,,,,,0,,1,,
504093682,29016000000,,,-1222338116983980994,0.0,10.129352842419967,,,0,18,0.0,16431,37345933352883,10,38.75546646118164,-299.7563298391826,0.056223251539160496,4,-7867.614843420872,3.4028234663852886E38,,,,,0,,1,,
