# 
# Header Description:
# 
# Version: v2.0.0.1 Platform: 8.0.0 Manufacturer: HUAWEI Model: VKY-TL00
# 
# ElapsedRealtimeMillis,UtcTimeMillis,Svid,Cn0DbHz,angleZ,angleX,angleY
# 
282350855,1222628487000,5,30.051416397094727,144.95605,-84.84763,22.036226
282350856,1222628487000,7,26.72087860107422,144.95605,-84.84763,22.036226
282350856,1222628487000,8,7.0,144.95605,-84.84763,22.036226
282350856,1222628487000,9,11.145477294921875,144.95605,-84.84763,22.036226
282350856,1222628487000,13,26.169387817382812,144.95605,-84.84763,22.036226
282350856,1222628487000,15,21.711172103881836,144.95605,-84.84763,22.036226
282350856,1222628487000,21,13.809412002563477,144.95605,-84.84763,22.036226
282350856,1222628487000,27,7.0,144.95605,-84.84763,22.036226
282350856,1222628487000,28,34.56901550292969,144.95605,-84.84763,22.036226
282350856,1222628487000,30,30.43970489501953,144.95605,-84.84763,22.036226
282350856,1222628487000,2,27.63243865966797,144.95605,-84.84763,22.036226
282350857,1222628487000,18,24.787818908691406,144.95605,-84.84763,22.036226
282350857,1222628487000,12,35.45534896850586,144.95605,-84.84763,22.036226
282350857,1222628487000,11,39.48891067504883,144.95605,-84.84763,22.036226
282350857,1222628487000,1,32.24872589111328,144.95605,-84.84763,22.036226
282350857,1222628487000,19,12.180305480957031,144.95605,-84.84763,22.036226
282350857,1222628487000,17,23.725231170654297,144.95605,-84.84763,22.036226
282350857,1222628487000,8,36.39175796508789,144.95605,-84.84763,22.036226
282351862,1222628488000,2,33.769710540771484,-158.42203,-82.58582,56.780525
282351862,1222628488000,5,30.811389923095703,-158.42203,-82.58582,56.780525
282351862,1222628488000,7,32.94297790527344,-158.42203,-82.58582,56.780525
282351862,1222628488000,8,7.0,-158.42203,-82.58582,56.780525
282351862,1222628488000,9,10.326648712158203,-158.42203,-82.58582,56.780525
282351863,1222628488000,13,33.63897705078125,-158.42203,-82.58582,56.780525
282351863,1222628488000,15,19.854991912841797,-158.42203,-82.58582,56.780525
282351863,1222628488000,21,13.187410354614258,-158.42203,-82.58582,56.780525
282351863,1222628488000,27,7.0,-158.42203,-82.58582,56.780525
282351863,1222628488000,28,31.228713989257812,-158.42203,-82.58582,56.780525
282351863,1222628488000,30,29.3411865234375,-158.42203,-82.58582,56.780525
282351863,1222628488000,2,25.02422332763672,-158.42203,-82.58582,56.780525
282351864,1222628488000,18,25.37171745300293,-158.42203,-82.58582,56.780525
282351865,1222628488000,12,37.690242767333984,-158.42203,-82.58582,56.780525
282351865,1222628488000,11,38.00196075439453,-158.42203,-82.58582,56.780525
282351865,1222628488000,1,30.42792320251465,-158.42203,-82.58582,56.780525
